time,time_step,population,births,deaths,birth_rate,death_rate,msd,speed_var,food_var,pheromone_var,speed_variance,food_sense_variance,pheromone_sense_variance,reproduction_energy_variance,max_cluster,max_cluster_size,num_clusters,avg_energy,avg_generation,lineage_count
36,36,20,0,0,0.0,0.0,0.058037,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.796491,0.0,20
37,37,20,0,0,0.0,0.0,0.0599,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.791359,0.0,20
38,38,20,0,0,0.0,0.0,0.061743,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.784254,0.0,20
39,39,20,0,0,0.0,0.0,0.063328,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.779108,0.0,20
40,40,20,0,0,0.0,0.0,0.064519,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.771978,0.0,20
41,41,20,0,0,0.0,0.0,0.065629,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.766818,0.0,20
42,42,20,0,0,0.0,0.0,0.066456,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.759664,0.0,20
43,43,20,0,0,0.0,0.0,0.0673,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.754492,0.0,20
44,44,20,0,0,0.0,0.0,0.068004,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.74731,0.0,20
45,45,20,0,0,0.0,0.0,0.068614,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.742125,0.0,20
46,46,20,0,0,0.0,0.0,0.069212,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.734919,0.0,20
47,47,20,0,0,0.0,0.0,0.069705,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.729724,0.0,20
48,48,20,0,0,0.0,0.0,0.070143,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.722493,0.0,20
49,49,20,0,0,0.0,0.0,0.070518,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.717289,0.0,20
50,50,20,0,0,0.0,0.0,0.071049,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.710043,0.0,20
51,51,20,0,0,0.0,0.0,0.071294,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.704828,0.0,20
52,52,20,0,0,0.0,0.0,0.071221,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.697569,0.0,20
53,53,20,0,0,0.0,0.0,0.070951,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.692345,0.0,20
54,54,20,0,0,0.0,0.0,0.070361,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.685077,0.0,20
55,55,20,0,0,0.0,0.0,0.069753,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.679844,0.0,20
56,56,20,0,0,0.0,0.0,0.068802,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.672564,0.0,20
57,57,20,0,0,0.0,0.0,0.067922,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.667324,0.0,20
58,58,20,0,0,0.0,0.0,0.066856,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.660033,0.0,20
59,59,20,0,0,0.0,0.0,0.0658,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.654786,0.0,20
60,60,20,0,0,0.0,0.0,0.064236,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.647485,0.0,20
61,61,20,0,0,0.0,0.0,0.062816,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.642231,0.0,20
62,62,20,0,0,0.0,0.0,0.061051,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.634919,0.0,20
63,63,20,0,0,0.0,0.0,0.059522,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.629659,0.0,20
64,64,20,0,0,0.0,0.0,0.057732,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.622337,0.0,20
65,65,20,0,0,0.0,0.0,0.056163,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.617071,0.0,20
66,66,20,0,0,0.0,0.0,0.054367,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.609739,0.0,20
67,67,20,0,0,0.0,0.0,0.052869,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.604467,0.0,20
68,68,20,0,0,0.0,0.0,0.051352,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.597126,0.0,20
69,69,20,0,0,0.0,0.0,0.050077,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.591848,0.0,20
70,70,20,0,0,0.0,0.0,0.048901,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.584499,0.0,20
71,71,20,0,0,0.0,0.0,0.047868,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.579216,0.0,20
